,ATC,tensor
0,DP1,"-0.02503153868019581, -0.025111405178904533, 0.23434361815452576, -0.5465576648712158, -0.8783958554267883, -0.15632116794586182, -0.059149131178855896, -0.1785750836133957, -0.26216021180152893, 0.8720136880874634, -0.24763409793376923, 0.2885376513004303, -0.07129494100809097, 0.20045213401317596, 0.27443650364875793, -0.11031491309404373, 0.3612267076969147, 0.1414749026298523, 0.04503514990210533, -0.06588385254144669, -0.032441120594739914, -0.0164356529712677, -0.0887145847082138, -0.2534235715866089, -0.20818370580673218, -0.16414514183998108, -0.2256433218717575, -0.3794557452201843, 0.3753514587879181, -0.033986493945121765, -0.27586203813552856, 0.2279115617275238, -0.396487832069397, -0.05878086015582085, -0.10795288532972336, -0.6833004355430603, 0.3561097979545593, 0.10975630581378937, 0.03849408030509949, -0.21509014070034027, 0.05755840986967087, -0.00020565319573506713, -0.37705129384994507, -0.06039748713374138, 0.10713375359773636, 0.32371824979782104, 0.011819715611636639, 0.06236877664923668, -0.4107631742954254, 0.0380689762532711, 0.32804903388023376, -0.01755635440349579, 0.4229244291782379, 0.10676393657922745, -0.18941491842269897, 0.006463229656219482, 0.00562472827732563, 0.4491128921508789, 0.10213201493024826, 0.30013924837112427, 0.09131896495819092, 0.297746866941452, 0.4783328175544739, 0.020302940160036087]"
1,DP2,"0.1330249011516571, 0.39208826422691345, -0.05400634929537773, 0.11831320077180862, -0.0935879498720169, 0.2071457952260971, 0.16315637528896332, 0.5562636852264404, 0.1187533512711525, -0.42727646231651306, -0.47026321291923523, -0.053291961550712585, -0.21853801608085632, -0.584617555141449, 0.42178407311439514, 0.16123342514038086, -0.004482144955545664, -0.32780522108078003, -0.35913512110710144, -0.06377632915973663, -0.29706141352653503, 0.7018149495124817, 0.044005319476127625, -0.051301367580890656, 0.04089408740401268, -0.22788994014263153, 0.0996512770652771, 0.36841219663619995, -0.5235995054244995, -0.03871375694870949, -0.12515701353549957, 0.08657563477754593, -0.344868004322052, -0.10673560947179794, -0.1555490493774414, -0.029916958883404732, 0.038565743714571, -0.25117960572242737, -0.42696139216423035, -0.2256765067577362, -0.16664500534534454, 0.08195679634809494, 0.06885439902544022, -0.07324771583080292, -0.06331243366003036, -0.29993101954460144, 0.3326588571071625, 0.19526945054531097, -0.02141430787742138, -0.07964502274990082, -0.167839914560318, -0.44534236192703247, 0.24214930832386017, -0.09385012090206146, -0.16279588639736176, 0.08732857555150986, 0.1712261289358139, 0.264678418636322, -0.08331180363893509, -0.28845635056495667, 0.2611372470855713, 0.6198884844779968, 0.4029829502105713, -0.1957993060350418]"
2,DP3,"0.2613879144191742, 0.490975022315979, -0.11438556760549545, -0.27093425393104553, -0.06920846551656723, 0.02389151230454445, 0.18139874935150146, -0.1656118482351303, 0.24623969197273254, -0.4003158211708069, 0.08204910904169083, 0.08929768949747086, 0.08168037235736847, -0.6095885634422302, 0.35708096623420715, 0.04457474127411842, 0.041244618594646454, 0.043141189962625504, -0.5256762504577637, -0.18809214234352112, 0.026852533221244812, 0.504220187664032, 0.11326391249895096, 0.10035470873117447, -0.09454067796468735, -0.643563985824585, -0.15751047432422638, 0.1312839388847351, 0.42175355553627014, 0.5164424180984497, -0.02841445989906788, 0.0011080973781645298, -0.4604935348033905, -0.19739536941051483, 0.14518195390701294, -0.16264836490154266, 0.1668538749217987, -0.04207249730825424, 0.11352527141571045, -0.17398890852928162, -0.527531087398529, 0.13248051702976227, 0.2877970337867737, 0.10523828864097595, 0.052577778697013855, 0.05024978891015053, 0.0034162914380431175, 0.12928475439548492, 0.052951738238334656, -0.2299186885356903, -0.3258066177368164, -0.40115007758140564, 0.2363722175359726, 0.04522185027599335, -0.12853077054023743, -0.14869780838489532, -0.2839335501194, 0.1416359394788742, -0.16622766852378845, -0.5354940295219421, 0.03877139464020729, 0.1683606207370758, 0.3017251789569855, -0.16632960736751556]"
3,DP4,"-0.03122861497104168, 0.8144176006317139, 0.25717803835868835, 0.32428115606307983, 0.40615135431289673, -0.23388327658176422, 0.20889413356781006, 0.715808093547821, 0.35659313201904297, -0.5866101384162903, -0.6345999240875244, 0.11222504079341888, -0.3639378547668457, -0.37363162636756897, 0.26896992325782776, -0.16308216750621796, 0.2690964639186859, -0.03967926278710365, -0.3185315728187561, -0.03146053105592728, 0.20371557772159576, 0.3219718635082245, 0.5033297538757324, 0.11643078923225403, -0.5497541427612305, -0.17600040137767792, 0.19713976979255676, -0.11598482728004456, 0.11681412160396576, 0.46977436542510986, -0.20870713889598846, -0.009534666314721107, -0.26719751954078674, -0.4813915193080902, 0.2532784044742584, 0.09796830266714096, 0.02925189584493637, -0.3270292580127716, 0.20178914070129395, 0.3214459717273712, -0.34021294116973877, 0.19869482517242432, -0.13787660002708435, 0.10118947923183441, -0.015316645614802837, 0.29893621802330017, -0.2570726275444031, -0.039591845124959946, 0.13674458861351013, 0.004969628062099218, 0.27095380425453186, -0.027994636446237564, 0.2283519059419632, -0.06272558867931366, -0.7963935732841492, -0.41742682456970215, -0.2532733678817749, -0.4100661277770996, -0.1226891502737999, -0.03789036348462105, 0.010367389768362045, 0.08001729846000671, 0.18362607061862946, 0.21141335368156433]"
4,DP5,"0.3224996328353882, 0.07365333288908005, -0.10356895625591278, 0.4607223868370056, -0.22373028099536896, -0.1970384567975998, 0.31457701325416565, 0.5084756016731262, -0.43402716517448425, -0.06717648357152939, -0.3972238004207611, 0.17369011044502258, -0.48944032192230225, -0.1276044249534607, 0.08411873877048492, 0.6426689624786377, -0.28055739402770996, 0.1475309431552887, -0.312423437833786, -0.20625042915344238, -0.2715509831905365, 0.42935141921043396, 0.1623997986316681, 0.462603896856308, -0.4844907820224762, 0.06257326900959015, 0.2009020745754242, 0.2906763553619385, -0.3184768557548523, 0.4484771490097046, -0.5306065082550049, 0.1214027926325798, -0.2294720560312271, -0.4683968722820282, -0.11750971525907516, -0.39354804158210754, -0.4381244480609894, 0.44890347123146057, 0.28823235630989075, 0.42827507853507996, -0.38302895426750183, 0.19804614782333374, 0.18836167454719543, 0.3776841163635254, -0.030706411227583885, -0.14448843896389008, -0.5036199688911438, -0.2539518475532532, 0.2078494131565094, -0.19431190192699432, 0.3593468964099884, 0.05674666911363602, -0.4362773001194, 0.22302010655403137, 0.5347505807876587, 0.22168950736522675, -0.8231205940246582, -0.37356826663017273, 0.058896102011203766, -0.07352685183286667, -0.07676622271537781, 0.05389651656150818, 0.31539371609687805, -0.14103926718235016]"
5,DP6,"0.5095134973526001, 0.7533850073814392, 0.39648041129112244, -0.1125187948346138, -0.6388423442840576, 0.25603848695755005, -0.26913687586784363, 0.2958466708660126, -0.14706982672214508, -0.2176637351512909, -0.30199265480041504, 0.48365992307662964, 0.22219090163707733, 0.1536969244480133, 0.26235613226890564, 0.1004820168018341, 0.30397623777389526, 0.5689533948898315, -0.13431285321712494, -0.33688604831695557, -0.41063228249549866, 0.021402619779109955, -0.10804275423288345, -0.022047704085707664, 0.22743667662143707, -0.03058616816997528, 0.09567831456661224, -0.12844008207321167, 0.027266431599855423, 0.05551810935139656, 0.15500454604625702, -0.05147106572985649, -0.34548893570899963, -0.21430212259292603, 0.17133240401744843, -0.09055306762456894, -0.017011277377605438, 0.16406649351119995, 0.06555990129709244, -0.10877016931772232, -0.12271259725093842, -0.3004133105278015, 0.29511651396751404, -0.4809315502643585, -0.14360088109970093, -0.857218861579895, -0.1238904818892479, 0.036474812775850296, -0.1257021278142929, -0.018824296072125435, -0.17341141402721405, -0.29398608207702637, 0.15352757275104523, -0.28644561767578125, 0.35387492179870605, 0.393185019493103, -0.055559806525707245, -0.03303856775164604, -0.11863762140274048, 0.3698475658893585, 0.08116942644119263, 0.6358400583267212, 0.34771716594696045, -0.23333516716957092]"
6,DP7,"0.003068834776058793, 0.969133734703064, -0.23254863917827606, 0.33302369713783264, -0.18009452521800995, -0.09488019347190857, 0.041501931846141815, -0.4408237040042877, -0.2510327100753784, -0.08067706972360611, 0.09414757788181305, 0.2815699279308319, 0.08266701549291611, 0.23573775589466095, 0.04738273099064827, -0.42340463399887085, -0.19460822641849518, 0.2077980786561966, -0.3436790108680725, -0.3076038062572479, -0.7426836490631104, -0.15929996967315674, -0.403141051530838, 0.2997792065143585, 0.015970218926668167, -0.293279767036438, 0.11028271168470383, -0.18402233719825745, 0.047135211527347565, 0.1833726465702057, -0.21646149456501007, -0.13759645819664001, 0.1416289359331131, -0.14629456400871277, -0.22760826349258423, 0.2109803557395935, 0.5771576166152954, -0.21786125004291534, -0.13045424222946167, -0.3466383218765259, 0.20686881244182587, -0.2704198658466339, 0.005346006713807583, 0.047830089926719666, -0.0968218594789505, 0.33880341053009033, -0.11079142987728119, 0.020926915109157562, 0.02400810271501541, 0.3366721570491791, -0.2038881629705429, -0.15893201529979706, 0.3847334086894989, -0.19217830896377563, -0.07226043194532394, 0.004320003092288971, -0.17455121874809265, -0.194560244679451, 0.07332063466310501, 0.3376227021217346, -0.13758333027362823, -0.30046191811561584, 0.30588462948799133, -0.31161054968833923]"
7,DP8,"-0.06568533182144165, -0.36206045746803284, -0.3308064639568329, -0.21181386709213257, 0.7395471334457397, 0.019125672057271004, 0.043764129281044006, 0.7468160390853882, -0.17911528050899506, -0.11073009669780731, 0.04027175158262253, -0.06978414207696915, -0.22908194363117218, -0.39805710315704346, 0.2319793552160263, 0.3937191665172577, 0.23034192621707916, 0.17355020344257355, -0.31737568974494934, -0.1564609557390213, -0.528002917766571, -0.21303923428058624, -0.2033747136592865, -0.3332594335079193, 0.38942453265190125, 0.23487816751003265, -0.4445227384567261, 0.42792633175849915, 0.4159781336784363, 0.0801326259970665, 0.02020210772752762, 0.3652334213256836, 0.4978685677051544, -0.7394410967826843, 0.6791195273399353, 0.1203894093632698, -0.26088228821754456, -0.525114119052887, 0.14865383505821228, 0.22418542206287384, -0.40684983134269714, -0.2150062769651413, -0.15771080553531647, 0.0027088976930826902, -0.11741563677787781, 0.08597718924283981, -0.008404911495745182, 0.01093380805104971, -0.20171722769737244, 0.08516858518123627, -0.0017037475481629372, 0.1381032019853592, 0.11260923743247986, 0.20518344640731812, 0.2517794668674469, 0.1603110134601593, 0.02436118572950363, -0.1640111804008484, 0.2761979103088379, -0.8023943305015564, 0.09968990087509155, -0.07288900017738342, -0.08589571714401245, 0.08874265104532242]"
8,DP9,"-0.047901518642902374, -0.20748351514339447, -0.30511847138404846, 0.03012683242559433, 0.49053677916526794, -0.22383253276348114, 0.3198314309120178, 0.4309435486793518, 0.03237700089812279, 0.2925095558166504, -0.0811341255903244, -0.016224142163991928, -0.25823846459388733, 0.06852898746728897, 0.42318645119667053, 0.12225900590419769, 0.019348254427313805, 0.08926094323396683, 0.1574215441942215, -0.05124816298484802, -0.27241015434265137, 0.10284440219402313, -0.0972905382514, -0.21646174788475037, -0.12588836252689362, -0.07024742662906647, -0.2739998996257782, 0.3993220925331116, -0.10180572420358658, 0.11694612354040146, 0.12026416510343552, 0.2971775233745575, 0.9040488600730896, -0.2817838490009308, 0.11440569162368774, 0.05088074132800102, 0.1798626035451889, -0.32726120948791504, 0.2593504786491394, 0.38707485795021057, -0.3660790026187897, 0.03575834259390831, -0.06653226912021637, 0.22756974399089813, 0.12687240540981293, -0.1068335622549057, 0.05611371994018555, -0.2047813981771469, 0.1332750767469406, -0.23199066519737244, 0.11689295619726181, 0.008011340163648129, -0.3338167071342468, -0.021564193069934845, 0.026821814477443695, -0.06168137490749359, 0.09728545695543289, -0.1384965181350708, 0.17532260715961456, -0.759525716304779, -0.09249099344015121, -0.2244081050157547, 0.16828960180282593, 0.2817608416080475]"
10,DP11,"-0.005120402667671442, 0.03565988317131996, 0.09939602017402649, 0.20739205181598663, -0.2633538544178009, -0.15512853860855103, 0.258598655462265, 0.04536805301904678, 0.08286487311124802, 0.0929807499051094, 0.09749184548854828, -0.03240976855158806, -0.542986273765564, -0.012559971772134304, 0.039515066891908646, -0.2987653315067291, 0.06732478737831116, -0.1510135978460312, 0.29098111391067505, -0.3229890763759613, 0.07216065376996994, -0.18766790628433228, -0.10298150777816772, -0.18921388685703278, -0.13049045205116272, -0.0322299599647522, 0.2398129552602768, 0.1913999617099762, 0.04357611760497093, -0.004741104785352945, -0.015268164686858654, 0.004296082071959972, -0.10532642155885696, 0.06826887279748917, 0.01387816108763218, -0.05110141634941101, -0.001991744851693511, -0.0815126970410347, 0.0629941001534462, 0.12404283881187439, 0.0687062069773674, -0.22121134400367737, -0.46402475237846375, -0.2646429240703583, 0.030699487775564194, 0.08767533302307129, -0.5264431834220886, -0.009543432854115963, -0.2474335879087448, -0.06842410564422607, -0.10058531165122986, -0.0554780438542366, 0.08918236941099167, -0.29595211148262024, -0.16317211091518402, 0.15040655434131622, -0.0741409882903099, -0.03167617693543434, -0.015681440010666847, -0.19515381753444672, -0.2494838833808899, -0.29361987113952637, -0.17671115696430206, -0.387845516204834]"
